Anime_id,Title,Type,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,Genre,Producer,Studio
1,Cowboy Bebop,TV,8.81,363889,39,704490,26,Original,"Apr 3, 1998 to Apr 24, 1999",https://myanimelist.net/anime/1/Cowboy_Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Bandai Visual'],['Sunrise']
5,Cowboy Bebop: Tengoku no Tobira,Movie,8.41,111187,475,179899,1,Original,1-Sep-01,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,"['Action', 'Space', 'Drama', 'Mystery', 'Sci-Fi']","['Sunrise', 'Bandai Visual']",['Bones']
6,Trigun,TV,8.31,197451,158,372709,26,Manga,"Apr 1, 1998 to Sep 30, 1998",https://myanimelist.net/anime/6/Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Victor Entertainment'],['Madhouse']
7,Witch Hunter Robin,TV,7.34,31875,1278,74889,26,Original,"Jul 2, 2002 to Dec 24, 2002",https://myanimelist.net/anime/7/Witch_Hunter_Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",['Bandai Visual'],['Sunrise']
8,Bouken Ou Beet,TV,7.04,4757,3968,11247,52,Manga,"Sep 30, 2004 to Sep 29, 2005",https://myanimelist.net/anime/8/Bouken_Ou_Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",,['Toei Animation']
15,Eyeshield 21,TV,8.05,48765,888,106468,145,Manga,"Apr 6, 2005 to Mar 19, 2008",https://myanimelist.net/anime/15/Eyeshield_21,"['Action', 'Sports', 'Comedy', 'Shounen']","['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Studio Gallop']
16,Hachimitsu to Clover,TV,8.14,54367,578,160236,24,Manga,"Apr 15, 2005 to Sep 27, 2005",https://myanimelist.net/anime/16/Hachimitsu_to_Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","['Genco', 'Fuji TV', 'Shueisha']",['J.C.Staff']
17,Hungry Heart: Wild Striker,TV,7.69,8868,3330,16132,52,Manga,"Sep 11, 2002 to Sep 10, 2003",https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",,['Nippon Animation']
18,Initial D Fourth Stage,TV,8.24,37575,1228,64338,24,Manga,"Apr 17, 2004 to Feb 18, 2006",https://myanimelist.net/anime/18/Initial_D_Fourth_Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","['OB Planning', 'Studio Jack']",['A.C.G.T.']
19,Monster,TV,8.69,118553,159,352153,74,Manga,"Apr 7, 2004 to Sep 28, 2005",https://myanimelist.net/anime/19/Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']","['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Madhouse']
20,Naruto,TV,7.88,645672,9,975394,220,Manga,"Oct 3, 2002 to Feb 8, 2007",https://myanimelist.net/anime/20/Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot']
21,One Piece,TV,8.54,422109,35,716639,,Manga,"Oct 20, 1999 to ?",https://myanimelist.net/anime/21/One_Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","['Fuji TV', 'TAP', 'Shueisha']",['Toei Animation']
22,Tennis no Ouji-sama,TV,8.01,48076,915,107296,178,Manga,"Oct 10, 2001 to Mar 23, 2005",https://myanimelist.net/anime/22/Tennis_no_Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']","['Production I.G', 'Nihon Ad Systems']",['Trans Arts']
23,Ring ni Kakero 1,TV,6.59,763,6847,2725,12,Manga,"Oct 6, 2004 to Dec 15, 2004",https://myanimelist.net/anime/23/Ring_ni_Kakero_1,"['Action', 'Shounen', 'Sports']",,['Toei Animation']
24,School Rumble,TV,8.02,101509,412,214291,26,Manga,"Oct 5, 2004 to Mar 29, 2005",https://myanimelist.net/anime/24/School_Rumble,"['Comedy', 'Romance', 'School', 'Shounen']","['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet']
25,Sunabouzu,TV,7.52,34345,1112,83460,24,Manga,"Oct 6, 2004 to Mar 30, 2005",https://myanimelist.net/anime/25/Sunabouzu,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']","['GDH', 'Pony Canyon', 'CBC']",['Gonzo']
26,Texhnolyze,TV,7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",https://myanimelist.net/anime/26/Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']","['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse']
26,Texhnolyze,TV,7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",https://myanimelist.net/anime/26/Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']","['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse']
27,Trinity Blood,TV,7.41,59564,761,131732,24,Light novel,"Apr 29, 2005 to Oct 28, 2005",https://myanimelist.net/anime/27/Trinity_Blood,"['Action', 'Supernatural', 'Vampire']",,['Gonzo']
28,Yakitate!! Japan,TV,8.02,26509,1476,62224,69,Manga,"Oct 12, 2004 to Mar 14, 2006",https://myanimelist.net/anime/28/Yakitate_Japan,"['Comedy', 'Shounen']","['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise']
29,Zipang,TV,7.54,4148,3729,11768,26,Manga,"Oct 8, 2004 to Apr 1, 2005",https://myanimelist.net/anime/29/Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']","['Marvelous', 'TBS']",['Studio Deen']
30,Neon Genesis Evangelion,TV,8.32,362916,49,638943,26,Original,"Oct 4, 1995 to Mar 27, 1996",https://myanimelist.net/anime/30/Neon_Genesis_Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']"
31,Neon Genesis Evangelion: Death & Rebirth,Movie,7.5,70336,764,121746,1,Original,15-Mar-97,https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']"
32,Neon Genesis Evangelion: The End of Evangelion,Movie,8.48,193277,208,295214,1,Original,19-Jul-97,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']"
33,Kenpuu Denki Berserk,TV,8.45,153543,250,301328,25,Manga,"Oct 8, 1997 to Apr 1, 1998",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']","['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM']
43,Koukaku Kidoutai,Movie,8.35,182385,205,328965,1,Manga,18-Nov-95,https://myanimelist.net/anime/43/Koukaku_Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']","['Bandai Visual', 'Kodansha']",['Production I.G']
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,8.79,89007,537,166944,4,Manga,"Feb 20, 1999 to Sep 22, 1999",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",['Aniplex'],['Studio Deen']
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,8.4,135492,294,274956,94,Manga,"Jan 10, 1996 to Sep 8, 1998",https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']","['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']"
